weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.0,2017-03-14,09:57:59,1,0,1.5740457456558943e-5,pilot,0101,0.3.3,break_start,,,,
0.4.0,2017-03-14,09:57:59,1,0,0.2490222084452398,pilot,0101,0.3.3,start,,,,
0.4.0,2017-03-14,09:57:59,1,0,0.5085658988682553,pilot,0101,0.3.3,high_latency,,,,0.009543690423015505
0.4.0,2017-03-14,09:57:59,2,0,1.5112376736942679,pilot,0101,0.3.3,break_start,,,,
0.4.0,2017-03-14,09:57:59,2,0,1.513066306419205,pilot,0101,0.3.3,instructions,,,,
0.4.0,2017-03-14,09:57:59,2,0,78.48846462601796,pilot,0101,0.3.3,instructions,,,,
0.4.0,2017-03-14,09:57:59,3,0,85.32932190713473,pilot,0101,0.3.3,practice_start,,,,
0.4.0,2017-03-14,09:57:59,3,0,86.0153972657281,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,88.03290067554917,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,90.05040100577753,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,92.06790133600589,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,94.08637518039905,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,96.10937338531949,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,3,0,96.10937338531949,pilot,0101,0.3.3,high_latency,,,,0.005487833274528953
0.4.0,2017-03-14,09:57:59,3,0,98.12989554484375,pilot,0101,0.3.3,stimulus,,,example,
0.4.0,2017-03-14,09:57:59,4,0,100.15105724672321,pilot,0101,0.3.3,break_start,,,,
0.4.0,2017-03-14,09:57:59,4,0,100.15580197388772,pilot,0101,0.3.3,instructions,,,,
0.4.0,2017-03-14,09:57:59,4,0,116.2098458733526,pilot,0101,0.3.3,instructions,,,,
0.4.0,2017-03-14,09:57:59,4,0,121.85092947515659,pilot,0101,0.3.3,instructions,,,,
0.4.0,2017-03-14,09:57:59,5,0,154.64806518744444,pilot,0101,0.3.3,practice_start,,,,
0.4.0,2017-03-14,09:57:59,5,0,154.89998740761075,pilot,0101,0.3.3,stimulus,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,157.3878087272169,pilot,0101,0.3.3,stream_2,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,157.5079961620504,pilot,0101,0.3.3,stream_2_up,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,157.66978875594214,pilot,0101,0.3.3,stimulus,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,159.68209541327087,pilot,0101,0.3.3,stream_1,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,159.83236734714592,pilot,0101,0.3.3,stream_1_up,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,160.14163622935303,pilot,0101,0.3.3,stimulus,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,162.07165064901346,pilot,0101,0.3.3,stream_2,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,162.2506441618898,pilot,0101,0.3.3,stream_2_up,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,162.60919202765217,pilot,0101,0.3.3,stimulus,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,164.41468387987697,pilot,0101,0.3.3,stream_2,,,practice,
0.4.0,2017-03-14,09:57:59,5,0,164.62154761730926,pilot,0101,0.3.3,stream_2_up,,,practice,
