weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,7/2/17,11:48:17,1,0,0.010580163,pilot,abin,0.3.2,start,,,,,int
0.3.2,7/2/17,11:48:17,2,0,0.394309742,pilot,abin,0.3.2,instructions,,,,,int
0.3.2,7/2/17,11:48:17,2,0,8.456020593,pilot,abin,0.3.2,instructions,,,,,int
0.3.2,7/2/17,11:48:17,3,0,11.64418842,pilot,abin,0.3.2,practice_start,,,,,int
0.3.2,7/2/17,11:48:17,3,0,11.64791902,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,12.32178203,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,12.99432492,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,13.66682515,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,14.33932538,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,15.01183587,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,15.6843361,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,16.35683633,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,17.02933656,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,17.70183761,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,18.37433784,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,19.04683807,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,19.7193383,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,20.39183853,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,21.06433877,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,21.73717784,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,22.41135549,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,22.41135549,pilot,abin,0.3.2,high_latency,,,,0.001677649,int
0.3.2,7/2/17,11:48:17,3,0,23.08385572,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,23.75635595,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,3,0,24.4288607,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,7/2/17,11:48:17,4,0,25.1027676,pilot,abin,0.3.2,instructions,,,,,int
0.3.2,7/2/17,11:48:17,4,0,29.17064006,pilot,abin,0.3.2,instructions,,,,,int
0.3.2,7/2/17,11:48:17,5,0,35.04057186,pilot,abin,0.3.2,instructions,,,,,int
0.3.2,7/2/17,11:48:17,6,0,44.20011486,pilot,abin,0.3.2,practice_start,,,,,int
0.3.2,7/2/17,11:48:17,6,0,44.20170942,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,44.81653051,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,44.90293661,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,44.90293661,pilot,abin,0.3.2,high_latency,,,,0.028727194,int
0.3.2,7/2/17,11:48:17,6,0,45.3029321,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.3362655,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.35342447,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.38675787,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.42009128,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.45342468,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.48675808,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.50342478,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.53675818,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.57009158,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.57622612,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.60342498,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.63840791,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.65507461,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.69009322,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.72342663,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.75680761,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.77347431,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.8068151,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.84084425,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.87417765,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.90752049,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.92418719,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.95838289,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.99171629,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.02504969,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.05838309,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.07506046,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.10901043,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.14234383,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.17568544,pilot,abin,0.3.2,stream_1,,normal,practice,,int
