psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.3,2017-01-24,12:59:21,1,0,0.03551906958637119,pilot,0008,0.2.3,instructions,,,,
0.2.3,2017-01-24,12:59:21,1,0,68.87176268015173,pilot,0008,0.2.3,instructions,,,,
0.2.3,2017-01-24,12:59:21,2,0,72.29092233032861,pilot,0008,0.2.3,practice_start,,,,
0.2.3,2017-01-24,12:59:21,2,0,72.37492343626946,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,73.05000099233439,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,73.72266478054735,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,74.39866520759279,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,75.0712988835894,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,75.7439346126921,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,76.41660216493074,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,77.08925945164265,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,77.76192460859238,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,78.43455760022152,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,79.1077377444999,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,79.78095689778456,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,80.45359878620366,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,81.12626086349519,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,81.79891712365497,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,82.47503834174859,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,83.1477011034076,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,83.82035257298594,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,84.49301225498675,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,2,0,85.16569794299176,pilot,0008,0.2.3,stimulus,w2nw,normal,example,
0.2.3,2017-01-24,12:59:21,3,0,85.83841648069028,pilot,0008,0.2.3,instructions,,,,
0.2.3,2017-01-24,12:59:21,3,0,143.97984842605547,pilot,0008,0.2.3,instructions,,,,
0.2.3,2017-01-24,12:59:21,3,0,148.2354101181154,pilot,0008,0.2.3,instructions,,,,
0.2.3,2017-01-24,12:59:21,4,0,153.8928449953146,pilot,0008,0.2.3,practice_start,,,,
0.2.3,2017-01-24,12:59:21,4,0,154.04819460156432,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,154.72081801203058,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,155.3942174964286,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,157.2302684572478,pilot,0008,0.2.3,stream_1,,,practice,
0.2.3,2017-01-24,12:59:21,4,0,157.34692386605275,pilot,0008,0.2.3,high_latency,,,,3.149184369569042
0.2.3,2017-01-24,12:59:21,4,0,157.54622396234117,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,158.21888980366202,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,158.89151834689437,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,159.98896729471198,pilot,0008,0.2.3,stream_1,,,practice,
0.2.3,2017-01-24,12:59:21,4,0,159.99050404427544,pilot,0008,0.2.3,high_latency,,,,2.2945976289371117
0.2.3,2017-01-24,12:59:21,4,0,159.99313236166745,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,160.665805388855,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,161.33847191454151,pilot,0008,0.2.3,stimulus,w2nw,normal,practice,
0.2.3,2017-01-24,12:59:21,4,0,162.44590203538064,pilot,0008,0.2.3,stream_1,,,practice,
