weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.3.2,2017-02-07,11:58:36,1,0,0.009253079304471612,pilot,abin,0.3.2,start,,,,
0.3.2,2017-02-07,11:58:36,2,0,0.3849758479045704,pilot,abin,0.3.2,instructions,,,,
0.3.2,2017-02-07,11:58:36,2,0,2.5125995056005195,pilot,abin,0.3.2,instructions,,,,
0.3.2,2017-02-07,11:58:36,3,0,2.930731537286192,pilot,abin,0.3.2,practice_start,,,,
0.3.2,2017-02-07,11:58:36,3,0,2.9339674074435607,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,3.606475432519801,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,4.278975663240999,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,4.951475894078612,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,5.62397612479981,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,6.296476355521008,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,6.968976586358622,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,7.64147681707982,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,8.315377562656067,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,8.987877793377265,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,9.660378024098463,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,10.332878254936077,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,11.005378485657275,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,11.677880767500028,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,12.350997159141116,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,13.02349738997873,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,13.695997620699927,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,14.368833006941713,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,15.041333237662911,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,3,0,15.71383346838411,pilot,abin,0.3.2,stimulus,w2nw,normal,example,
0.3.2,2017-02-07,11:58:36,4,0,16.38636036380194,pilot,abin,0.3.2,instructions,,,,
0.3.2,2017-02-07,11:58:36,4,0,18.195747587480582,pilot,abin,0.3.2,instructions,,,,
0.3.2,2017-02-07,11:58:36,5,0,18.69892746163532,pilot,abin,0.3.2,instructions,,,,
0.3.2,2017-02-07,11:58:36,6,0,19.33585486165248,pilot,abin,0.3.2,practice_start,,,,
0.3.2,2017-02-07,11:58:36,6,0,19.337292296928354,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,20.009835191303864,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,20.682335422025062,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,21.354835652862675,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,22.027335883583874,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,22.69983611430507,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,23.055323207518086,pilot,abin,0.3.2,stream_1,,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,23.372336345142685,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,
0.3.2,2017-02-07,11:58:36,6,0,23.54605720611289,pilot,abin,0.3.2,stream_1,,normal,practice,
