weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,2/7/17,13:03:29,1,0,0.012321836,pilot,david,0.3.2,start,,,,,cont
0.3.2,2/7/17,13:03:29,2,0,0.510990212,pilot,david,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,13:03:29,2,0,2.05002989,pilot,david,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,13:03:29,3,0,2.658195925,pilot,david,0.3.2,practice_start,,,,,cont
0.3.2,2/7/17,13:03:29,3,0,2.662760366,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,3.336580238,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,4.009080292,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,4.686334017,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,5.358834071,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,6.032586874,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,6.705086928,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,7.37853621,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,8.051036264,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,8.724946131,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,9.397446185,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,10.07386874,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,10.74636879,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,11.42183253,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,12.09433259,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,12.77035683,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,13.44285688,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,14.11841302,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,14.79091307,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,3,0,15.4647107,pilot,david,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,13:03:29,4,0,16.13727645,pilot,david,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,13:03:29,4,0,18.40128724,pilot,david,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,13:03:29,5,0,19.25206057,pilot,david,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,13:03:29,6,0,20.26446179,pilot,david,0.3.2,practice_start,,,,,cont
0.3.2,2/7/17,13:03:29,6,0,20.26642287,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,20.94163031,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,21.61413037,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.28663042,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.42013562,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.91915953,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.9524934,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.96106247,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,22.98582761,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.01928056,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.05261443,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.06928171,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.10261558,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.14049575,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.17382997,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.20716452,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.24359416,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.27692803,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.3102619,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.34359645,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.38046752,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.41380207,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.44713662,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.48047049,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.51380471,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.54755262,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.5642199,pilot,david,0.3.2,stream_1_up,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.59755377,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,23.63356252,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.09159645,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.12493032,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.16278141,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.19611596,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.22944983,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.26278405,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.29611826,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.30606257,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.32945213,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.36278634,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.39612021,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.42945442,pilot,david,0.3.2,stream_1,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.42945442,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.53279407,pilot,david,0.3.2,stream_1_up,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,24.97856263,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.03408223,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.06741645,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.10087795,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.1342125,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.16754706,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.2048373,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.23817151,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.27150572,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.30483994,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.3421685,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.37550237,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.40883693,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.44494286,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.46161014,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.49494469,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.52827924,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.56604787,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.59938208,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.63271595,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.65106268,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.66942789,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.70309266,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.73642687,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.76976108,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.80558197,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.83891618,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.87225005,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.90558426,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.92588968,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.95922389,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,25.9925581,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,26.02589197,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,26.06253924,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,26.09587346,pilot,david,0.3.2,stream_2,,normal,practice,,cont
0.3.2,2/7/17,13:03:29,6,0,26.12920767,pilot,david,0.3.2,stream_2,,normal,practice,,cont
